text,label
"Bravo Team – достаточно стерильный и скучный проект про команду непобедимого спецназа, которая напоминает о временах компьютерных тиров, только с той разницей, что здесь есть сетевой режим на двух игроков и куча проблем с прицеливанием. Жаль, что игры Supermassive Games с каждым новым проектом становятся все хуже и хуже.",0
"Crash Bandicoot N. Sane Trilogy - это обязательный к приобретению сборник ремейков классических игр, который благодаря старанию Vicarious Visions в целом выглядит просто великолепно. Художники проделали огромную работу, адаптировав стилистику оригинала под высокое разрешение. Печально, что некоторые устаревшие элементы игрового дизайна не были переработаны под современные стандарты, но даже так проект умудряется приносить массу позитивных эмоций спустя 20 лет после оригинального релиза на первой PlayStation.",2
"Мы надеялись получить идейного наследника Ultima Underworld, но перед нами оказалась смесь из Dark Messiah и Thief, только созданная грустными бомжами из картофельных очисток, палок и прочего мусора. Выглядит игра как Ultima только на стопкадрах, а вблизи же воняет сырым кодом, горелыми тряпками и говном. Увидите ее на распродаже – бегите.",0
"DreadOut создан для тех, кто вдруг забыл, как на самом деле выглядят плохие видеоигры. Практически все жизненно-важные аспекты игрового процесса работают в пол силы, графика плоская и не соответствует стандартам даже позапрошлого поколения, а сюжет вызывает лишь недоумение. Конечно, проект не скатывается в откровенный треш, но его роль – странный уборщик туалетов в гостинице, который жадным взглядом сверлит богатых гостей, а в обеденный перерыв кривляется перед зеркалом, подражая им.",0
"Основной сюжет заканчивается достаточно простой схваткой с боссом, однако финал истории мы узнаем лишь в следующем эпизоде. “Войны Банд” хоть и продолжает сюжет, начатый в “Ограблении”, здесь он больше похож на филлер, который концентрируется на персонаже Юри и её противостоянии с Кувалдой. Данное дополнение будет интересно в первую очередь тем, кто ещё не наигрался в нового “Человека-Паука” и хочет побольше насладиться атмосферой в преддверии последнего DLC.  ",1
"Отличительная особенность Hollow Knight в том, что разработчики одинаково хорошо проработали как сеттинг и приключенческую составляющую, так и битвы. Team Cherry не стали делать приоритет на чем-то одном. Оба этих аспекта равноценны и составляют цельность игрового опыта. Hollow Knight сбалансирован во всех элементах и благодаря художественным особенностям мира Халлоунеста воспринимается уникально. Одновременно мрачные и при этом выполненные в пастельных тонах интерактивные локации под проникновенные мелодии создают всему происходящему особенное настроение. Это настоящий шедевр, которому для идеала не хватило лишь щепотки инноваций. Но даже так фанаты жанра наверняка поставят его в один ряд с Super Metroid и Castlevania: Symphony of the Night.",2
"Destiny - это арт-проект и во многом провальная игра, которая не оправдала возложенных на нее ожиданий. Увлекательной механики перестрелок, приятной музыки и очень красивой графики не хватает надолго. Они лишь отчасти вытягивают игру из пучины однообразия, непродуманности структуры мира, мультиплеерных опций, отсутствия сюжета и баланса. Если Bungie будут вовремя выпускать обновления и исправят очевидные ошибки, то у Destiny появятся хоть какие-то шансы. Но пока это лишенный смысла тир, который можно посоветовать только отчаянным любителям гринда и заскучавшим игрокам, ожидающим выхода действительно качественных проектов. Вот такая судьба.
Скриншоты в 1080p.",1
"Но не все с Rocksmith 2014 Edition просто. Для того, чтобы играть, вам потребуется настоящая гитара, стоимостью в много тысяч рублей, да и игрой проект сложно назвать. Это симулятор, который доставит удовольствие очень ограниченному кругу почитателей, уже знакомому с игрой на гитаре. Тем не менее, это не просто самоучитель с набором уроков и мини-игр, а очень эффективный интерактивный репетитор, который после многочисленных попыток и усердия действительно может научить играть на гитаре, от простых вещей до весьма серьёзных композиций в духе «War Ensemble». Поэтому, если вас интересуют подобные формы времяпрепровождения, то Rocksmith 2014 Edition определённо стоит попробовать.",2
"Признаемся честно, часть редакции Gamemag не верила в Insomniac после провальной Fuse, но Sunset Overdrive оказалась, пожалуй, лучшей игрой на Xbox One, доступной в данный момент, и одним из самых неожиданных проектов этого года. Стильная, веселая и очень быстрая, она затягивает и не отпускает до самого финала, после чего вы будете просить добавки, переигрывая в любимые миссии и просто наслаждаясь полетами сквозь яркий город.",2
"Несмотря на очевидные проблемы, Lifeless Planet - это полноценное, законченное произведение с завязкой, кульминацией и развязкой. Ритм повествования ровный и нигде не провисает. Каждая локация дает глоток свежего воздуха (в прямом и переносном смысле), подбрасывая новые загадки и элементы механики, не давая заскучать ни на минуту. Выйди проект лет восемь назад, он бы стал нетленной классикой. Сейчас же, статус «инди» мешает игре попасть даже в поле зрение большинства геймеров. А зря, ведь таких запоминающихся приключений довольно мало.",1
"В целом, игра однозначно заслуживает внимания со стороны любителей военной техники в общем и самолетов в частности. Поклонники реалистичных авиасимуляторов на вряд ли могут заинтересоваться, но все остальные вполне. World of Warplanes - это пример качественной массовой бесплатной игры, что на фоне неудач при запусках дорогущих ААА проектов является несомненным достижением.",1
"Resident Evil: Revelations - Unveiled Edition — неплохой порт популярной портативной игры, в котором на большом экране особенно сильно заметны все дыры бюджета, игровые условности и багаж проблем прошлых частей сериала. Мрачная атмосфера и возвращение к корням серии с ключами, бэктрекингом и малым количеством патронов, доставит удовольствие фанатам, но новичкам покажется архаизмом, не отвечающим современным стандартам. Тем не менее, если вы скучаете по подобным проектам, пропускать Resident Evil: Revelations - Unveiled Edition не рекомендуется.",1
